Level.code	Main.food.description
7413	Tomato_products_canned_sauce
7414	Tomato_products_canned_puree_with_salt_added
75	Common_vegetables
750	Cabbage_family
7500	Cabbage
75000	Cabbage_raw
75001	Cabbage_cooked_boiled_drained_without_salt
75002	Cabbage_savoy_raw
75003	Cabbage_mustard_salted
7501	Cauliflower
75010	Cauliflower_raw
75011	Cauliflower_cooked_boiled_drained_without_salt
751	Root_vegetables
7510	Beets
75100	Beets_raw
75101	Beets_cooked_boiled_drained_without_salt
75102	Beets_canned_drained_solids
75103	Beets_cooked_boiled_drained
7511	Turnips
75110	Turnips_raw
75111	Turnips_cooked_boiled_drained_without_salt
7512	Radishes_raw
7513	Rutabagas
75130	Rutabagas_raw
75131	Rutabagas_cooked_boiled_drained_without_salt
7514	Parsnips_cooked_boiled_drained_without_salt
7515	Other_roots
75150	Burdock_root_raw
75151	Yambean_jicama_raw
75152	Cassava_raw
75153	Yam_cooked_boiled_drained_or_baked_without_salt
75154	Taro_cooked_without_salt
75155	Taro_leaves_raw
752	Onion_family
7520	Onions
75200	Onions_raw
75201	Onions_cooked_boiled_drained_without_salt
75202	Onions_dehydrated_flakes
75203	Onions_spring_or_scallions_includes_tops_and_bulb_raw
7521	Leeks_bulb_and_lower_leafportion_raw
7522	Chives_raw
7523	Garlic_raw
753	Peppers
7530	Sweet_peppers
75300	Peppers_sweet_red_raw
75301	Peppers_sweet_red_cooked_boiled_drained_without_salt
75302	Pimento_canned
7531	Hot_peppers
75310	Peppers_hot_chili_red_raw
75311	Peppers_hot_chili_red_canned_excluding_seeds_solids_and_liquids
754	Squash_summer_all_varieties_cooked_boiled_drained_without_salt
755	Bean_sprouts
7550	Mung_beans_mature_seeds_sprouted_raw
7551	Soybeans_mature_seeds_sprouted_cooked_steamed
756	Corn
7560	Corn_sweet_yellow_raw
7561	Corn_sweet_yellow_cooked_boiled_drained_without_salt
7562	Corn_sweet_yellow_canned_whole_kernel_drained_solids
7563	Snacks_popcorn_airpopped
757	Artichokes_globe_or_french_cooked_boiled_drained_without_salt
758	Asparagus
7580	Asparagus_raw
7581	Asparagus_cooked_boiled_drained
7582	Asparagus_canned_drained_solids
759	Olives_pickled_canned_or_bottled_green
76	Specialty_vegetables
760	Eggplant
7600	Eggplant_raw
7601	Eggplant_cooked_boiled_drained_without_salt
761	Okra
7610	Okra_raw
7611	Okra_cooked_boiled_drained_without_salt
762	Mushrooms
7620	Mushrooms_white_raw
7621	Mushrooms_white_cooked_boiled_drained_without_salt
7622	Mushrooms_canned_drained_solids
7623	Mushrooms_shiitake_dried
763	Celery
7630	Celery_raw
7631	Celery_cooked_boiled_drained_without_salt
764	Fennel_bulb_raw
765	Celeriac_raw
766	Cucumber_with_peel_raw
767	Bamboo_shoots_canned_drained_solids
768	Waterchestnuts_chinese_canned_solids_and_liquids
769	Lotus_root_cooked_boiled_drained_without_salt
77	Exotic_and_aquatic_vegetables
770	Chayote_fruit_cooked_boiled_drained_without_salt
771	Hearts_of_palm_raw
772	Kohlrabi
7720	Kohlrabi_raw
7721	Kohlrabi_cooked_boiled_drained_without_salt
773	Ginger_root_raw
774	Nopales
7740	Nopales_raw
7741	Nopales_cooked_without_salt
775	Seaweed
7750	Seaweed_kelp_raw
7751	Seaweed_laver_raw
7752	Seaweed_agar_dried
7753	Seaweed_spirulina_dried
7754	Seaweed_wakame_raw
776	Other_vegetables
7760	Grape_leaves_raw
7761	Waxgourd_chinese_preserving_melon_cooked_boiled_drained_without_salt
7762	Cress_garden_cooked_boiled_drained_without_salt
7763	Escarole_cooked_boiled_drained_no_salt_added
