Level.code	Main.food.description
26082	Fish, mullet, cooked
26083	Fish, ocean perch, cooked
26084	Fish, pompano, cooked
26085	Fish, porgy/scup, cooked
26086	Fish, shark, cooked
26087	Fish, sturgeon, cooked
26088	Fish, swordfish, cooked
26089	Fish, whiting, cooked
2609	Fish roe, sturgeon, raw
261	Shellfish
2610	Crustaceans
26100	Crustaceans, crab, cooked
26101	Crab, cooked
26102	Crustaceans, lobster, cooked
26103	Crustaceans, crayfish/crawfish, cooked
26104	Crustaceans, shrimp, canned/cooked
2611	Mollusks
26110	Mollusks, clam, raw
26111	Mollusks, clam, canned/cooked
26112	Mollusks, oysters, raw
26113	Mollusks, oysters, cooked
26114	Mollusks, scallops, cooked
26115	Mollusks, abalone, cooked
26116	Mollusks, squid, canned/cooked
26117	Mollusks, octopus, cooked
26118	Mollusks, mussels, cooked
26119	Mollusks, snails, cooked
3	Eggs
31	Eggs
310	Chicken_eggs
3100	Egg, whole, raw
3101	Egg, whole, cooked
3102	Egg, whole, dried
3103	Egg, white, cooked
3104	Egg, yolk, cooked
311	Other_poultry_eggs
3110	Egg, duck, cooked
3111	Egg, goose, cooked
3112	Egg, quail, canned
4	Beans_Peas_Other_Legumes_Nuts_and_Seeds
41	Legumes
410	Beans
4100	Kidney_beans
41000	Beans, kidney, mature, raw (consumed cooked/heat-treated)
41001	Beans, kidney, mature, cooked
41002	Beans, kidney, mature, canned/cooked
4101	Black_beans
41010	Beans, black, mature, raw (consumed cooked/heat-treated)
41011	Beans, black, mature, cooked
41012	Beans, black, mature, canned/cooked
4102	White_beans
41020	Beans, white, mature, cooked
41021	Beans, great northern, mature, canned
41022	Beans, navy, mature, canned/cooked
4103	Pinto_beans
41030	Beans, pinto, mature, raw (consumed cooked/heat-treated)
41031	Beans, pinto, mature, canned/cooked
4104	Pink_beans
41040	Beans, pink, mature, raw (consumed cooked/heat-treated)
41041	Beans, pink, mature, cooked
4105	Other_beans
41050	Beans, yellow, mature, cooked
4106	Fresh_beans
41060	Beans, lima, immature, cooked
41061	Beans, lima, mature, cooked
41062	Cowpeas (black-eyed peas), immature, canned
41063	Pigeonpeas, immature, canned
41064	Beans, green/snap, raw
41065	Beans, green/snap, cooked
41066	Beans, green/snap, canned/cooked
411	Beans, fava/broad, mature, cooked
412	Chickpeas
4120	Chickpeas (garbanzo beans), mature, raw (consumed cooked/heat-treated)
4121	Chickpeas (garbanzo beans), mature, canned/cooked
413	Lentils
4130	Lentils, raw (consumed cooked/heat-treated)
4131	Lentils, canned/cooked
414	Peas, green, mature (split), cooked
415	Mung_beans
4150	Beans, mung, mature, cooked
4151	Beans, mung, mature, sprouted, canned/cooked
416	Soybeans
4160	Beans, soy, mature, dried
4161	Beans, soy, immature, cooked
4162	Beans, soy, mature, sprouted, cooked
417	Soybean_derived_products
4170	Flour, soy
4171	Soy meal, defatted
4172	Protein, soy isolate
4173	Protein, textured vegetable
4174	Miso, cooked
4175	Soy sauce
4176	Tofu
42	Nuts_and_nut_butters
420	Tree_nuts
4200	Almonds
42000	Nuts, almonds, roasted/heat-treated
42001	Nuts, almonds, unroasted
4201	Nuts, walnuts, roasted/heat-treated
4202	Nuts, pecans, roasted/heat-treated
4203	Nuts, hazelnuts or filberts, roasted/heat-treated
4204	Nuts, cashew, roasted/heat-treated
4205	Nuts, brazilnuts, roasted/heat-treated
4206	Nuts, pine, dried
4207	Nuts, pistachio, roasted/heat-treated
4208	Nuts, macadamia, roasted/heat-treated
4209	Nuts, chestnuts, roasted/heat-treated
421	Coconut_products
4210	Nuts, coconut meat, dried (desiccated)
4211	Nuts, coconut cream
4212	Nuts, coconut milk
422	Peanuts
4220	Peanuts, roasted/otherwise heat treated
4221	Flour, peanut
43	Seeds
430	Seeds, chia
431	Pumpkin_seeds
4310	Seeds, pumpkin/squash, unroasted
4311	Seeds, pumpkin/squash, roasted
432	Seeds, sesame, dried/roasted
433	Seeds, sunflower, roasted
434	Seeds, flax, roasted
5	Grain_Product
51	Wheat_products
510	Wheat_flour
5100	Flour, wheat, refined
